SetName,Cycle,Time_S,Temperature_°C,X_Displacement_um,Y_Displacement_um,X_Force_mN,Y_Force_mN,X_MeasuredStrain_%,Y_MeasuredStrain_%
Precon1,1-Hold,20.7,23.8,13187,0,743,0,33.88885756,-8.175821157
Precon1,1-Hold,20.8,23.8,13187,0,742,-5,33.96989822,-8.181708661
Precon1,1-Hold,20.9,23.8,13187,0,742,-5,33.94673813,-8.129680935
Precon1,1-Hold,21,23.8,13187,0,742,-5,33.95032968,-8.027579831
Precon1,1-Hold,21.1,23.8,13187,0,740,1,33.90820267,-8.094590347
Precon1,1-Hold,21.2,23.8,13187,0,740,-3,33.91849648,-8.107204472
Precon1,1-Hold,21.3,23.8,13187,0,739,-1,33.98020035,-8.097124878
Precon1,1-Hold,21.4,23.8,13187,0,740,-4,33.9163176,-8.128732168
Precon1,1-Hold,21.5,23.8,13187,0,740,-3,33.93913296,-8.09358097
Precon1,1-Hold,21.6,23.8,13187,0,740,-2,33.8961074,-8.1101742
Precon1,1-Hold,21.7,23.8,13187,0,737,-3,33.96982261,-8.139290579
Precon1,1-Hold,21.8,23.8,13187,0,738,-3,33.88822112,-8.111967058
Precon1,1-Hold,21.9,23.8,13187,0,737,-3,33.94999172,-8.082288031
Precon1,1-Hold,22,23.8,13187,0,740,-3,33.87290071,-8.093952684
Precon1,1-Hold,22.1,23.8,13187,0,737,-1,33.92899622,-8.109842207
Precon1,1-Hold,22.2,23.8,13187,0,738,-4,33.9012141,-8.126316036
Precon1,1-Hold,22.3,23.8,13187,0,738,-3,33.94084428,-8.112058009
Precon1,1-Hold,22.4,23.8,13187,0,737,-4,33.9131061,-8.213574971
Precon1,1-Hold,22.5,23.8,13187,0,733,-1,33.86827066,-8.106269328
Precon1,1-Hold,22.6,23.8,13187,0,738,-3,33.98733518,-8.168781021
Precon1,1-Hold,22.7,23.8,13187,0,737,-4,33.90522306,-8.203275372
Precon1,1-Hold,22.8,23.8,13187,0,737,-2,33.97247581,-8.110580731
Precon1,1-Hold,22.9,23.8,13187,0,734,0,33.82669422,-8.078737132
Precon1,1-Hold,23,23.8,13187,0,735,-3,33.86890989,-8.091457911
Precon1,1-Hold,23.1,23.8,13187,0,736,-3,33.92382217,-8.091046303
Precon1,1-Hold,23.2,23.8,13187,0,736,0,33.92344375,-8.017924877
Precon1,1-Hold,23.3,23.8,13187,0,734,-6,33.93082777,-8.104536802
Precon1,1-Hold,23.4,23.8,13187,0,734,-2,33.87471358,-8.198478294
Precon1,1-Hold,23.5,23.7,13187,0,734,-1,33.92376759,-8.106232688
Precon1,1-Hold,23.6,23.7,13187,0,734,-2,33.90112123,-8.116741752
Precon1,1-Hold,23.7,23.7,13187,0,732,-2,33.91336268,-8.047779447
Precon1,1-Hold,23.8,23.7,13187,0,730,-1,33.99355537,-8.098175745
Precon1,1-Hold,23.9,23.7,13187,0,734,-1,33.91978068,-8.109632585
Precon1,1-Hold,24,23.7,13187,0,734,-7,33.92912503,-8.180134958
Precon1,1-Hold,24.1,23.7,13187,0,732,-2,33.93036522,-8.078288261
Precon1,1-Hold,24.2,23.7,13187,0,732,-2,33.8914164,-8.061321017
Precon1,1-Hold,24.3,23.7,13187,0,731,-3,33.84954756,-8.121363074
Precon1,1-Hold,24.4,23.7,13187,0,732,-1,33.92382059,-8.123463852
Precon1,1-Hold,24.5,23.7,13187,0,731,-2,33.89014209,-8.092999958
Precon1,1-Hold,24.6,23.7,13187,0,731,-2,33.89345407,-8.104493039
Precon1,1-Hold,24.7,23.7,13187,0,732,-3,33.80753778,-8.225872421
Precon1,1-Hold,24.8,23.7,13187,0,732,-1,33.83785452,-8.099457456
Precon1,1-Hold,24.9,23.7,13187,0,730,1,33.85969535,-8.180331477
Precon1,1-Hold,25,23.7,13187,0,731,-1,33.90517374,-8.123991344
Precon1,1-Hold,25.1,23.7,13187,0,729,-2,33.93813767,-8.19055963
Precon1,1-Hold,25.2,23.7,13187,0,727,1,33.98961635,-8.048501309
Precon1,1-Hold,25.3,23.7,13187,0,729,-2,33.90940896,-8.074415486
Precon1,1-Hold,25.4,23.7,13187,0,728,0,33.86525,-8.114938711
Precon1,1-Hold,25.5,23.8,13187,0,727,0,33.93299065,-8.028970084
Precon1,1-Hold,25.6,23.8,13187,0,727,1,33.87193381,-8.178107761
Precon1,1-Hold,25.7,23.8,13187,0,727,1,33.87053542,-8.226987498
Precon1,1-Hold,25.8,23.8,13187,0,727,-2,33.97605758,-8.125722726
Precon1,1-Hold,25.9,23.8,13187,0,727,-1,33.88935667,-8.178081158
Precon1,1-Hold,26,23.8,13187,0,727,-1,33.84738308,-8.130616394
Precon1,1-Hold,26.1,23.8,13187,0,729,-1,33.89633312,-8.082243633
Precon1,1-Hold,26.2,23.8,13187,0,727,-2,33.90155219,-8.142110249
Precon1,1-Hold,26.3,23.8,13187,0,725,-2,33.85874229,-8.148212347
Precon1,1-Hold,26.4,23.8,13187,0,727,-3,33.8388061,-8.080748539
Precon1,1-Hold,26.5,23.8,13187,0,725,-2,33.8741363,-8.142151639
Precon1,1-Hold,26.6,23.8,13187,0,725,2,33.84388076,-8.110156102
Precon1,1-Hold,26.7,23.8,13187,0,726,-2,33.89624853,-8.140487091
Precon1,1-Hold,26.8,23.8,13187,0,725,-2,33.87502832,-8.160801953
Precon1,1-Hold,26.9,23.8,13187,0,723,3,33.89902636,-8.043781199
Precon1,1-Hold,27,23.8,13187,0,727,-2,33.90033851,-8.032539744
Precon1,1-Hold,27.1,23.8,13187,0,725,0,33.83197461,-8.11900827
Precon1,1-Hold,27.2,23.8,13187,0,725,-2,33.93145835,-8.173578599
Precon1,1-Hold,27.3,23.8,13187,0,724,0,33.89412833,-8.06883874
Precon1,1-Hold,27.4,23.8,13187,0,723,-1,33.87409864,-8.128055271
Precon1,1-Hold,27.5,23.8,13187,0,723,0,33.94111376,-8.213090904
